year,month,day,site,animal_id,sl,age,mark
2016,10,19,NB,NB_2.288,81,1,1
2016,10,19,NB,NB_2.289,72,1,0
2017,5,24,NB,NB_2.1,100,1,1
2017,5,24,NB,NB_2.2,111,1,1
2017,5,24,NB,NB_2.3,107,1,1
2017,5,24,NB,NB_2.4,119,1,1
2017,5,24,NB,NB_2.5,102,1,1
2017,5,24,NB,NB_2.6,86,1,1
2017,5,24,NB,NB_2.7,116,2,1
2017,5,24,NB,NB_2.8,92,1,1
2017,5,24,NB,NB_2.9,89,1,1
2017,5,24,NB,NB_2.10,87,1,1
2017,5,24,NB,NB_2.11,119,1,1
2017,5,24,NB,NB_2.12,104,1,1
2017,5,24,NB,NB_2.13,111,1,1
2017,5,24,NB,NB_2.14,113,1,1
2017,5,24,NB,NB_2.15,118,1,1
2017,5,24,NB,NB_2.16,129,2,1
2017,5,24,NB,NB_2.17,109,1,1
2017,5,24,NB,NB_2.18,107,1,1
2017,5,24,NB,NB_2.19,90,1,1
2017,5,24,NB,NB_2.20,106,1,1
2017,5,24,NB,NB_2.21,60,1,1
2017,5,24,NB,NB_2.22,75,1,1
2017,5,24,NB,NB_2.23,65,1,1
2017,5,24,NB,NB_2.24,80,1,1
2017,5,24,NB,NB_2.25,72,1,1
2017,5,24,NB,NB_2.26,79,1,1
2017,5,24,NB,NB_2.27,72,1,1
