"year","month","day","time","tank","temperature"
2016,12,24,1215,33,3.3
2016,12,24,1215,34,3.2
2016,12,24,1215,35,3
2016,12,24,1215,36,3
2016,12,25,1140,1,3
2016,12,25,1140,2,2.9
2016,12,25,1140,3,2.8
2016,12,25,1140,4,2.8
2016,12,25,1140,5,3
2016,12,25,1140,6,2.8
2016,12,25,1140,7,2.9
2016,12,25,1140,8,3
2016,12,25,1140,9,3
2016,12,25,1140,10,3
2016,12,25,1140,11,3
2016,12,25,1140,12,3
2016,12,25,1140,13,3.1
2016,12,25,1140,14,3
2016,12,25,1140,15,3.1
2016,12,25,1140,16,3
2016,12,25,1140,17,3
2016,12,25,1140,18,3
2016,12,25,1140,19,2.9
2016,12,25,1140,20,2.8
2016,12,25,1140,21,2.9
2016,12,25,1140,22,2.9
2016,12,25,1140,23,3
2016,12,25,1140,24,3
2016,12,25,1140,25,3
2016,12,25,1140,26,3
2016,12,25,1140,27,3
2016,12,25,1140,28,3
2016,12,25,1140,29,3
2016,12,25,1140,30,2.9
2016,12,25,1140,31,3
2016,12,25,1140,32,3
2016,12,25,1140,33,3
2016,12,25,1140,34,3
2016,12,25,1140,35,3
2016,12,25,1140,36,3
2016,12,26,1200,1,2.7
2016,12,26,1540,1,2.6
2016,12,26,1200,2,2.7
2016,12,26,1540,2,2.6
2016,12,26,1200,3,2.6
2016,12,26,1540,3,2.6
2016,12,26,1200,4,2.7
2016,12,26,1540,4,2.6
2016,12,26,1200,5,2.9
2016,12,26,1540,5,2.5
2016,12,26,1200,6,2.7
2016,12,26,1540,6,2.4
2016,12,26,1200,7,2.7
2016,12,26,1540,7,2.6
2016,12,26,1200,8,2.7
2016,12,26,1540,8,2.5
2016,12,26,1200,9,2.6
2016,12,26,1540,9,2.4
2016,12,26,1200,10,2.9
2016,12,26,1540,10,2.4
2016,12,26,1200,11,2.7
2016,12,26,1540,11,2.4
2016,12,26,1200,12,2.7
2016,12,26,1540,12,2.4
2016,12,26,1200,13,2.7
2016,12,26,1540,13,2.5
2016,12,26,1200,14,2.6
2016,12,26,1540,14,2.5
2016,12,26,1200,15,2.7
2016,12,26,1540,15,2.5
2016,12,26,1200,16,2.8
2016,12,26,1540,16,2.5
2016,12,26,1200,17,2.7
2016,12,26,1540,17,2.5
2016,12,26,1200,18,2.7
2016,12,26,1540,18,2.5
2016,12,26,1200,19,2.6
2016,12,26,1540,19,2.4
2016,12,26,1200,20,2.6
2016,12,26,1540,20,2.4
2016,12,26,1200,21,2.7
2016,12,26,1540,21,2.4
2016,12,26,1200,22,2.6
2016,12,26,1540,22,2.4
2016,12,26,1200,23,2.7
2016,12,26,1540,23,2.5
2016,12,26,1200,24,2.7
2016,12,26,1540,24,2.5
2016,12,26,1200,25,2.8
2016,12,26,1540,25,2.5
2016,12,26,1200,26,2.7
2016,12,26,1540,26,2.5
2016,12,26,1200,27,2.7
2016,12,26,1540,27,2.5
2016,12,26,1200,28,2.7
2016,12,26,1540,28,2.5
2016,12,26,1200,29,2.7
2016,12,26,1540,29,2.5
2016,12,26,1200,30,2.6
2016,12,26,1540,30,2.4
2016,12,26,1200,31,2.7
2016,12,26,1540,31,2.6
2016,12,26,1200,32,2.6
2016,12,26,1540,32,2.5
2016,12,26,1200,33,2.6
2016,12,26,1540,33,2.4
2016,12,26,1200,34,2.6
2016,12,26,1540,34,2.4
2016,12,26,1200,35,2.6
2016,12,26,1540,35,2.4
2016,12,26,1200,36,2.7
2016,12,26,1540,36,2.5
2016,12,27,930,1,2.5
2016,12,27,1530,1,2.4
2016,12,27,930,2,2.5
2016,12,27,1530,2,2.4
2016,12,27,930,3,2.4
2016,12,27,1530,3,2.4
2016,12,27,930,4,2.4
2016,12,27,1530,4,2.4
2016,12,27,930,5,2.3
2016,12,27,1530,5,2.4
2016,12,27,930,6,2.4
2016,12,27,1530,6,2.4
2016,12,27,930,7,2.4
2016,12,27,1530,7,2.4
2016,12,27,930,8,2.4
2016,12,27,1530,8,2.4
2016,12,27,930,9,2.3
2016,12,27,1530,9,2.3
2016,12,27,930,10,2.3
2016,12,27,1530,10,2.3
2016,12,27,930,11,2.4
2016,12,27,1530,11,2.3
2016,12,27,930,12,2.4
2016,12,27,1530,12,2.4
2016,12,27,930,13,2.5
2016,12,27,1530,13,2.2
2016,12,27,930,14,2.4
2016,12,27,1530,14,2.3
2016,12,27,930,15,2.5
2016,12,27,1530,15,2.3
2016,12,27,930,16,2.4
2016,12,27,1530,16,2.3
2016,12,27,930,17,2.4
2016,12,27,1530,17,2.4
2016,12,27,930,18,2.4
2016,12,27,1530,18,2.4
2016,12,27,930,19,2.3
2016,12,27,1530,19,2.3
2016,12,27,930,20,2.3
2016,12,27,1530,20,2.3
2016,12,27,930,21,2.4
2016,12,27,1530,21,2.4
2016,12,27,930,22,2.4
2016,12,27,1530,22,2.4
2016,12,27,930,23,2.5
2016,12,27,1530,23,2.4
2016,12,27,930,24,2.4
2016,12,27,1530,24,2.4
2016,12,27,930,25,2.4
2016,12,27,1530,25,2.4
2016,12,27,930,26,2.4
2016,12,27,1530,26,2.4
2016,12,27,930,27,2.4
2016,12,27,1530,27,2.4
2016,12,27,930,28,2.4
2016,12,27,1530,28,2.4
2016,12,27,930,29,2.3
2016,12,27,1530,29,2.4
2016,12,27,930,30,2.3
2016,12,27,1530,30,2.3
2016,12,27,930,31,2.4
2016,12,27,1530,31,2.5
2016,12,27,930,32,2.4
2016,12,27,1530,32,2.4
2016,12,27,930,33,2.4
2016,12,27,1530,33,2.4
2016,12,27,930,34,2.4
2016,12,27,1530,34,2.4
2016,12,27,930,35,2.4
2016,12,27,1530,35,2.4
2016,12,27,930,36,2.4
2016,12,27,1530,36,2.4
2016,12,28,930,1,2
2016,12,28,1515,1,2.3
2016,12,28,930,2,1.8
2016,12,28,1515,2,2.3
2016,12,28,930,3,1.9
2016,12,28,1515,3,2.3
2016,12,28,930,4,2
2016,12,28,1515,4,2.4
2016,12,28,930,5,1.8
2016,12,28,1515,5,2.3
2016,12,28,930,6,1.9
2016,12,28,1515,6,2.4
2016,12,28,930,7,2
2016,12,28,1515,7,2.4
2016,12,28,930,8,2
2016,12,28,1515,8,2.4
2016,12,28,930,9,1.8
2016,12,28,1515,9,2.3
2016,12,28,930,10,1.7
2016,12,28,1515,10,2.2
2016,12,28,930,11,1.8
2016,12,28,1515,11,2.2
2016,12,28,930,12,1.8
2016,12,28,1515,12,2.2
2016,12,28,930,13,1.7
2016,12,28,1515,13,2.2
2016,12,28,930,14,1.9
2016,12,28,1515,14,2.2
2016,12,28,930,15,1.8
2016,12,28,1515,15,2.3
2016,12,28,930,16,1.8
2016,12,28,1515,16,2.3
2016,12,28,930,17,1.9
2016,12,28,1515,17,2.3
2016,12,28,930,18,1.9
2016,12,28,1515,18,2.3
2016,12,28,930,19,1.8
2016,12,28,1515,19,2.3
2016,12,28,930,20,1.8
2016,12,28,1515,20,2.2
2016,12,28,930,21,1.9
2016,12,28,1515,21,2.3
2016,12,28,930,22,1.9
2016,12,28,1515,22,2.3
2016,12,28,930,23,1.9
2016,12,28,1515,23,2.3
2016,12,28,930,24,2
2016,12,28,1515,24,2.4
2016,12,28,930,25,2
2016,12,28,1515,25,2.4
2016,12,28,930,26,2
2016,12,28,1515,26,2.4
2016,12,28,930,27,1.9
2016,12,28,1515,27,2.4
2016,12,28,930,28,2
2016,12,28,1515,28,2.4
2016,12,28,930,29,1.9
2016,12,28,1515,29,2.3
2016,12,28,930,30,1.9
2016,12,28,1515,30,2.3
2016,12,28,930,31,2
2016,12,28,1515,31,2.4
2016,12,28,930,32,1.9
2016,12,28,1515,32,2.3
2016,12,28,930,33,1.9
2016,12,28,1515,33,2.3
2016,12,28,930,34,1.9
2016,12,28,1515,34,2.3
2016,12,28,930,35,1.9
2016,12,28,1515,35,2.3
2016,12,28,930,36,2
2016,12,28,1515,36,2.4
2016,12,29,900,1,2.3
2016,12,29,1610,1,2.3
2016,12,29,900,2,2.3
2016,12,29,1610,2,2.2
2016,12,29,900,3,2.3
2016,12,29,1610,3,2.2
2016,12,29,900,4,2.4
2016,12,29,1610,4,2.2
2016,12,29,900,5,2.4
2016,12,29,1610,5,2.2
2016,12,29,900,6,2.3
2016,12,29,1610,6,2.2
2016,12,29,900,7,2.4
2016,12,29,1610,7,2.2
2016,12,29,900,8,2.4
2016,12,29,1610,8,2.2
2016,12,29,900,9,2.3
2016,12,29,1610,9,2.2
2016,12,29,900,10,2.2
2016,12,29,1610,10,2.1
2016,12,29,900,11,2.2
2016,12,29,1610,11,2.2
2016,12,29,900,12,2.2
2016,12,29,1610,12,2.1
2016,12,29,900,13,2.2
2016,12,29,1610,13,2.1
2016,12,29,900,14,2.2
2016,12,29,1610,14,2.1
2016,12,29,900,15,2.4
2016,12,29,1610,15,2.2
2016,12,29,900,16,2.4
2016,12,29,1610,16,2.2
2016,12,29,900,17,2.4
2016,12,29,1610,17,2.2
2016,12,29,900,18,2.4
2016,12,29,1610,18,2.2
2016,12,29,900,19,2.3
2016,12,29,1610,19,2.1
2016,12,29,900,20,2.2
2016,12,29,1610,20,2.2
2016,12,29,900,21,2.4
2016,12,29,1610,21,2.2
2016,12,29,900,22,2.3
2016,12,29,1610,22,2.2
2016,12,29,900,23,2.4
2016,12,29,1610,23,2.2
2016,12,29,900,24,2.4
2016,12,29,1610,24,2.2
2016,12,29,900,25,2.4
2016,12,29,1610,25,2.2
2016,12,29,900,26,2.4
2016,12,29,1610,26,2.2
2016,12,29,900,27,2.4
2016,12,29,1610,27,2.2
2016,12,29,900,28,2.5
2016,12,29,1610,28,2.2
