year,month,day,time,tank,mmSL,wet_weight_g,wet_liver_g,wet_evis_g,dry_liver_mg,dry_evis_g,mortality,notes
2017,4,24,NA,20,130,20.691,0.028,18.02,5.57,3.554,0,
2017,4,24,NA,20,131,21.125,0.024,18.272,4.25,3.633,0,
2017,4,24,NA,22,81,5.147,0.004,4.403,0.63,0.771,0,
2017,4,24,NA,22,94,7.946,0.007,6.943,1.06,1.331,0,
2017,4,24,NA,22,97,8.465,0.01,7.142,1.83,1.313,0,
2017,4,24,NA,22,82,4.854,0.005,4.213,1.38,0.803,0,
2017,4,24,NA,22,94,7.617,0.009,6.541,1.61,1.214,0,
2017,4,24,NA,22,83,5.094,0.009,4.381,1.63,0.794,0,
2017,4,24,NA,22,76,3.717,0.003,3.214,0.65,0.581,0,
2017,4,24,NA,22,87,6.006,0.006,5.183,1.01,0.958,0,otolith extracted
2017,4,24,NA,23,106,10.273,0.007,8.974,1.64,1.733,0,
2017,4,24,NA,23,110,12.739,0.014,10.993,2.82,2.126,0,otolith extracted
2017,4,24,NA,23,111,12.894,0.026,11.183,5.46,2.197,0,
2017,4,24,NA,23,108,11.525,0.011,9.977,2.49,1.946,0,
2017,4,24,NA,23,115,13.861,0.016,11.905,3.11,2.315,0,
2017,4,24,NA,23,106,10.988,0.014,9.315,2.67,1.762,0,
2017,4,24,NA,23,117,13.912,0.012,12.341,3.35,2.387,0,
2017,4,24,NA,27,90,6.556,0.005,5.622,0.91,1.033,0,
2017,4,24,NA,27,85,4.895,0.007,4.227,1.36,0.762,0,
2017,4,24,NA,27,92,6.501,0.006,5.623,1.31,1.065,0,
2017,4,24,NA,27,85,4.983,0.004,4.377,0.91,0.661,0,
2017,4,24,NA,27,93,7.319,0.003,6.412,1.16,1.205,0,
2017,4,24,NA,27,102,9.384,0.009,7.771,1.58,1.449,0,
2017,4,24,NA,27,90,6.457,0.014,5.543,2.81,1.055,0,otolith extracted
2017,4,24,NA,27,85,5.51,0.007,4.582,1.21,0.864,0,
2017,4,24,NA,28,87,6.574,0.001,5.553,1.18,1.013,0,
2017,4,24,NA,28,90,5.982,0.007,5.092,0.93,0.958,0,
2017,4,24,NA,28,102,9.64,0.007,8.073,1.44,1.543,0,
2017,4,24,NA,28,95,7.852,0.009,6.701,1.89,1.254,0,
2017,4,24,NA,28,100,9.01,0.006,7.709,1.75,1.445,0,
2017,4,24,NA,28,94,7.639,0.009,6.414,1.62,1.217,0,
2017,4,24,NA,28,96,8.114,0.009,6.803,2.03,1.245,0,otolith extracted
2017,4,24,NA,28,98,9.172,0.01,7.981,1.84,1.545,0,
2017,4,24,NA,28,103,10.713,0.015,9.077,3.3,1.747,0,
2017,4,24,NA,29,95,8.171,0.007,7.068,1.46,1.34,0,otolith extracted
2017,4,24,NA,29,92,7.554,0.007,6.635,2.16,1.232,0,
2017,4,24,NA,29,86,4.805,0.004,4.135,0.94,0.797,0,
2017,4,24,NA,29,90,6.31,0.008,5.426,1.11,1.019,0,
2017,4,24,NA,29,91,7.016,0.007,5.995,0.94,1.089,0,
2017,4,24,NA,29,101,9.37,0.011,7.923,2.22,1.55,0,
2017,4,24,NA,29,97,9.489,0.011,8.038,2.1,1.519,0,
2017,4,24,NA,29,104,10.546,0.023,9.086,2.7,1.768,0,
2017,4,24,NA,29,95,7.796,0.011,6.695,2.14,1.292,0,
2017,4,24,NA,30,95,7.093,0.012,6.171,2.16,1.175,0,
2017,4,24,NA,30,88,6.842,0.009,5.791,1.36,1.084,0,
2017,4,24,NA,30,95,7.826,0.007,6.585,1.42,1.248,0,
2017,4,24,NA,30,103,9.19,0.015,7.803,3.09,1.519,0,otolith extracted
2017,4,24,NA,30,99,7.998,0.01,6.827,1.92,1.308,0,
2017,4,24,NA,30,98,8.537,0.012,7.407,2.34,1.444,0,
2017,4,24,NA,30,93,6.83,0.004,5.838,0.75,1.104,0,
2017,4,24,NA,30,88,6.002,0.005,5.261,0.95,0.968,0,
2017,4,24,NA,32,101,8.855,0.012,7.752,2.33,1.482,0,
2017,4,24,NA,32,111,12.066,0.011,10.606,1.95,1.995,0,
2017,4,24,NA,32,105,10.852,0.016,9.586,3.36,1.819,0,
2017,4,24,NA,32,109,10.838,0.016,9.227,2.83,1.73,0,
2017,4,24,NA,32,99,7.981,0.01,6.9,2.02,1.299,0,
